,country,trust_clean,trust_family,trust_neighborhood,trust_know_personally,trust_first_time,trust_another_religion,trust_another_nationality,confidence_churches,confidence_armed_forces,confidence_press,confidence_labour_unions,confidence_police,confidence_parliament,confidence_civil_services,confidence_big_regional_org,confidence_european_union,confidence_government,confidence_political_parties,confidence_major_companies,confidence_green_movement,confidence_justice_system,confidence_UN,trust_family_BIN,trust_neighborhood_BIN,trust_know_personally_BIN,trust_first_time_BIN,trust_another_religion_BIN,trust_another_nationality_BIN,confidence_churches_BIN,confidence_armed_forces_BIN,confidence_press_BIN,confidence_labour_unions_BIN,confidence_police_BIN,confidence_parliament_BIN,confidence_civil_services_BIN,confidence_big_regional_org_BIN,confidence_european_union_BIN,confidence_government_BIN,confidence_political_parties_BIN,confidence_major_companies_BIN,confidence_green_movement_BIN,confidence_justice_system_BIN,confidence_UN_BIN
36,ID,0.051891215,3.638637,2.6485302,2.5,1.590369,2.1235497,1.8524125,3.8420887,3.3501725,2.5133522,2.527982,2.874257,2.5317335,2.9555137,2.697582,,3.145055,2.2341032,2.675838,3.0605106,2.9877436,2.8730419,0.95029694,0.58536583,0.5,0.09193246,0.32361242,0.21192053,0.98405254,0.88421714,0.48947534,0.5151903,0.6706287,0.4998421,0.7465539,0.61146075,,0.7934066,0.3596963,0.5860215,0.7970375,0.7181018,0.68048304
37,IN,0.17685851,3.8326435,3.043761,3.0374331,2.111444,2.5629897,2.1653748,3.5561497,3.4798071,2.7913043,2.8121898,2.882808,3.007742,3.1215012,2.5916774,,2.7876961,2.298773,2.613621,3.0606709,3.0655837,2.8380356,0.9615612,0.801301,0.7670826,0.33732775,0.58047014,0.376615,0.89007723,0.8667872,0.6583851,0.6562722,0.66686493,0.7451613,0.80089056,0.5825748,,0.65199035,0.4165644,0.5509103,0.77301925,0.7515042,0.6907001
38,IQ,0.112436116,3.9274395,3.1180904,3.146321,1.9199319,2.3055313,1.9715809,2.7138019,2.9974833,2.3243477,2.1362371,2.6505706,1.4807355,2.0832596,1.8645731,,1.7256255,1.445122,1.8684211,2.0474834,2.3313253,1.8846899,0.98415345,0.81407034,0.79180604,0.24531516,0.42932397,0.28863233,0.5495343,0.715604,0.39826086,0.34198332,0.5741879,0.12084063,0.33215234,0.26496565,,0.19930975,0.10627177,0.25469926,0.32478634,0.43287435,0.2635659
39,IR,0.14839572,3.832555,2.8874748,3.0347593,1.9852941,2.594576,2.0068073,3.0489604,3.5979798,2.550403,2.4908192,3.2771084,2.6453369,2.7990623,2.5358808,,2.4150436,2.2973902,2.4322846,2.9599729,3.016129,2.2975206,0.98532355,0.78834563,0.86229944,0.34024063,0.65855354,0.3424098,0.78470826,0.92457914,0.6055108,0.53177965,0.8514056,0.64874065,0.7200268,0.6421249,,0.52048355,0.5048077,0.5198358,0.7632293,0.7694892,0.46349862
40,IS,0.65769714,3.853358,3.128205,3.4393563,2.6061752,3.0220492,3.06491,2.4022417,,2.2186337,2.5622666,3.2516966,2.3100872,2.6373973,2.2950928,2.2950928,2.1515722,2.0333123,2.214829,2.7183907,2.6693954,2.8613281,0.99199015,0.9205754,0.9938119,0.626339,0.8904021,0.9138817,0.47260273,,0.29875776,0.54420924,0.898211,0.37671232,0.6304485,0.42904508,0.42904508,0.32830188,0.18604651,0.3225602,0.66283524,0.61838794,0.7480469
41,IT,0.28475335,3.8369231,2.8712256,2.8138509,2.0923283,2.5140188,2.5317388,2.5334523,2.9104676,2.187724,2.0359092,2.999557,2.0934412,2.2550335,2.3155007,2.3155007,2.005398,1.7814183,2.4414747,2.6076534,2.3155296,2.5196445,0.9868132,0.75,0.7388619,0.27921498,0.5556075,0.55565774,0.53300625,0.7608018,0.3203405,0.26545453,0.8068232,0.2884097,0.35794184,0.4206676,0.4206676,0.24246514,0.12701975,0.48387095,0.5975104,0.4169659,0.5383536
42,JO,0.159699,3.8786368,2.9874372,3.0549085,2.030025,2.4239316,2.294017,2.9435415,3.7228715,2.1880417,2.4766839,3.641841,1.4309734,2.264836,1.7936693,,2.1896384,1.4208243,2.077001,2.3720136,3.245509,1.6224018,0.9817124,0.7872697,0.8169717,0.29858217,0.5307692,0.47350428,0.69289994,0.9490818,0.32842287,0.4818653,0.93138075,0.10619469,0.39238265,0.23915592,,0.42521995,0.106290676,0.3272543,0.4641638,0.79811805,0.19053118
43,JP,0.3559719,3.6986506,2.6462152,2.9793735,1.8674588,1.9491526,2.102564,1.6533333,3.1158147,2.7278965,2.4519231,2.9662318,2.23782,2.434039,2.4233577,,2.3588092,2.1767168,2.5303159,2.5022542,3.0381494,2.5948553,0.988006,0.64701194,0.8647823,0.1297989,0.21549636,0.26251528,0.08916666,0.870607,0.714939,0.49903846,0.81657714,0.34764656,0.49185666,0.47688565,,0.43362832,0.29061976,0.5473954,0.5383228,0.8555195,0.6034298
44,KE,0.095846646,3.7525773,2.7066772,2.8369133,1.9120704,2.3887098,2.1248994,3.354531,2.722355,2.8141026,2.3982012,2.2211537,2.2439418,2.4927418,2.7971737,,2.4308681,1.9292108,2.554109,2.8051739,2.5484388,2.9236515,0.9651071,0.65262324,0.68098646,0.2533973,0.4782258,0.3601934,0.7980922,0.5887033,0.6266026,0.43826655,0.35977563,0.36914378,0.46129033,0.62094766,,0.45578778,0.23433685,0.5256306,0.62085694,0.51080865,0.67634857
45,KG,0.118487395,3.8673894,3.0619247,2.9077182,1.8943365,2.077645,2.3018708,3.1079931,2.882553,2.4105902,2.4806786,2.4298987,2.1793993,2.5884354,2.759887,2.5909548,2.4791844,2.1268334,2.4623468,2.6822596,2.2427351,2.711946,0.9908257,0.8033473,0.7340604,0.16568047,0.30290103,0.43537414,0.78741497,0.7080851,0.45572916,0.52120644,0.49493244,0.37682402,0.6096939,0.69585687,0.6080402,0.5335599,0.33390853,0.5262697,0.65225065,0.3957265,0.67148364
46,KR,0.32931727,3.7951808,2.9028113,2.9212852,1.962249,2.117269,1.9742972,2.5526104,2.5333333,2.4570282,2.4016063,2.573494,1.9598393,2.5598392,2.6160643,,2.4771085,2.0963855,2.395984,2.6803212,2.6232932,2.7975903,0.9935743,0.7638554,0.8136546,0.1751004,0.25943774,0.19116466,0.5172691,0.5389558,0.49558234,0.41686746,0.5654619,0.20722891,0.56465864,0.5935743,,0.51325303,0.24497992,0.43534136,0.64819276,0.615261,0.6987952
47,KZ,0.23891626,3.8509803,2.8113654,2.813291,1.8386327,2.261745,2.3619528,3.1901352,3.1678658,2.6942017,2.6243863,2.788889,2.8193548,2.8154953,2.8262787,,2.8854167,2.6814516,2.5821137,2.7074602,2.7693536,2.7481885,0.97333336,0.6985004,0.71677214,0.20111288,0.41191274,0.46464646,0.8019093,0.82494,0.60047656,0.56792146,0.6595238,0.66451615,0.67651755,0.68871254,,0.7011218,0.59032255,0.54146343,0.61106455,0.6424581,0.6503623
48,LB,0.09916667,3.8083334,2.7042606,2.6513379,1.8881469,2.2947104,2.1072927,2.4623115,3.4862385,2.0219223,1.9292413,2.6625,1.8208579,1.7701442,1.6818572,,1.9092437,1.7596638,1.9161625,1.9896908,2.2745593,1.8163793,0.9741667,0.6708438,0.6279264,0.22621036,0.46851385,0.37720034,0.47319934,0.8940784,0.20404722,0.19181585,0.555,0.13793103,0.124681935,0.1427343,,0.2,0.13109244,0.22904062,0.22164948,0.3434089,0.18275861
49,LT,0.32785714,3.6792452,2.9606824,3.0007143,2.0937746,2.2166517,2.2664266,2.9371648,2.838514,2.6214647,2.4396176,2.8207548,2.066426,2.4273765,2.7200315,2.7200315,2.3365242,1.9450223,2.2127845,2.5970635,2.5101275,2.6663709,0.9860238,0.81602377,0.87,0.20094563,0.33840644,0.38523853,0.76551723,0.78013647,0.6243655,0.48566464,0.7445573,0.23610108,0.4973384,0.7082019,0.7082019,0.4263623,0.18053491,0.33362523,0.61256117,0.52588147,0.6690328
50,LV,0.2257564,3.7739263,2.7401216,3.0711043,2.030209,2.352185,2.4357913,2.4490447,2.9138198,2.1590214,2.3602874,2.7505739,1.9867188,2.635449,2.55739,2.55739,2.0618715,1.6460937,2.5642915,2.648,2.533385,2.3800647,0.9849284,0.699848,0.90468985,0.21766073,0.4318766,0.47721624,0.522293,0.746118,0.35703364,0.48966756,0.70466715,0.275,0.6671827,0.5794025,0.5794025,0.3062645,0.1109375,0.6052416,0.6544,0.57763976,0.4878444
51,LY,0.09268708,3.9120603,3.1090603,3.1626153,1.9081719,1.898451,2.0093856,3.4130068,2.5012722,1.7237521,1.8299905,2.6008475,1.5238938,2.230971,1.7338263,,2.0811517,1.3246511,1.8839623,2.0948768,2.6311264,1.6596136,0.9916248,0.8397651,0.853311,0.2502106,0.28829604,0.33959043,0.8310811,0.48261237,0.11531842,0.1556829,0.50932205,0.098230086,0.3062117,0.17837338,,0.29668412,0.03255814,0.19245283,0.2836812,0.52966464,0.14351426
52,MA,0.165,3.5775,2.6741667,2.7241666,2.03,2.0933332,2.0891666,2.8916667,2.74,2.0725,2.04,2.5025,1.96,2.2158334,2.1116667,,1.9825,1.9033333,2.1158333,2.365,2.3091667,2.1416667,0.93666667,0.6325,0.635,0.28083333,0.30833334,0.30333334,0.6533333,0.58,0.22666667,0.22583333,0.47333333,0.20083334,0.335,0.28083333,,0.21,0.18666667,0.27833334,0.44166666,0.3825,0.29416665
53,ME,0.2208589,3.8601398,2.992,2.961078,2.2459838,2.4712527,2.435233,3.2036848,2.6045082,1.9433198,2.0490928,2.459152,2.2035866,2.2670808,2.5434322,2.5434322,2.210084,2.065762,2.2290323,2.2797494,2.2357895,2.465885,0.988012,0.829,0.7954092,0.36646587,0.4825462,0.46943006,0.8106448,0.5717213,0.22469635,0.2614728,0.48914167,0.3470464,0.35921326,0.55932206,0.55932206,0.37289914,0.29853863,0.36021507,0.39874738,0.36,0.5138593
54,MK,0.1505174,3.8399282,2.8696833,3.035326,1.9908842,2.439423,2.4453049,2.9166667,2.7265193,2.0264359,1.9161905,2.4564428,2.0091743,2.2177122,2.4208531,2.4208531,1.8643446,1.7308756,2.2244701,2.2839622,2.046168,2.4386299,0.9865108,0.77918553,0.8451087,0.278031,0.5298077,0.53823817,0.6929348,0.63627994,0.30537832,0.25904763,0.5235935,0.31376147,0.38745388,0.5004739,0.5004739,0.25206232,0.2,0.4132948,0.43396226,0.32686982,0.5128449
55,MM,0.15083334,3.7408333,2.8408334,2.9241667,2.2708333,1.8883333,1.8675,3.2816668,2.0266666,2.5725,2.8541667,2.5791667,2.9216666,2.9408333,3.0175,,3.1016667,2.7541666,2.7541666,3.0658333,2.5808334,3.0516667,0.9683333,0.715,0.7475,0.41333333,0.29333332,0.29,0.8408333,0.3325,0.57166666,0.72,0.60333335,0.75916666,0.7575,0.7916667,,0.8016667,0.6825,0.6825,0.8066667,0.5966667,0.80083334
56,MN,0.27495408,3.6978023,2.9358974,2.9310133,2.1031747,2.0616605,1.9688644,2.0522387,2.4412344,2.3441064,2.3026953,2.5107732,2.1147327,2.3296633,2.256167,,2.3042092,1.9850552,2.240566,2.3511348,2.336508,2.5314844,0.9542124,0.74542123,0.73748475,0.30647132,0.32234433,0.2924298,0.26390773,0.46749836,0.38086185,0.3787146,0.48542458,0.28292048,0.40608808,0.36812145,,0.38584185,0.23846653,0.36051214,0.4152203,0.3968254,0.5022489
57,MO,0.43801653,3.7478006,2.8715687,3.0244617,2.231827,2.3624754,2.3320236,2.5476892,2.8165681,2.59882,2.5725567,2.8543308,2.6729064,2.7110453,,,2.777559,2.6263628,2.7735848,2.8257873,2.8837438,2.8280632,0.9599218,0.75784314,0.8962818,0.30550098,0.41159135,0.38801572,0.5280236,0.6755424,0.5594887,0.55873644,0.7362205,0.64236456,0.6607495,,,0.68700784,0.59266603,0.714995,0.742126,0.7596059,0.7440711
58,MV,0.21324246,3.7805583,2.884913,3.0347154,1.6673133,1.8333334,2.0705884,3.0463767,3.0222008,2.0125847,2.5343812,2.7524085,1.6201551,2.3967023,2.6134787,,2.03485,1.5374149,2.3217053,2.6887805,2.2879226,2.6210938,0.9653513,0.7263056,0.7859209,0.15130942,0.23372781,0.32647058,0.7584541,0.7335907,0.2594385,0.5373281,0.6223507,0.14147286,0.4742968,0.55004954,,0.29719263,0.11564626,0.40600777,0.60487807,0.41352656,0.57421875
59,MX,0.102991946,3.644457,2.495397,2.3683908,1.5908046,2.0267286,1.8214078,2.8341014,2.5532408,1.985524,1.7586612,1.8100172,1.6273255,1.6358279,2.1032095,,1.678366,1.5068965,2.0700526,2.15625,1.8276063,2.17125,0.92016083,0.50057536,0.42988506,0.13103448,0.3050552,0.23327516,0.6186636,0.5115741,0.2744644,0.20258367,0.21473806,0.14593023,0.16440777,0.3310258,,0.17491369,0.11436781,0.32691184,0.37087265,0.22248107,0.37875
